damage,date,day,deaths,focal_depth,hour,houses_damaged,houses_destroyed,id,intensity,location,magnitude,minute,missing,month,name,second,total_damage,total_deaths,total_houses_damaged,total_houses_destroyed,total_missing,year
,,,,,,,,1,,POINT (35.5000000000000000 31.1000000000000014),,,,,"JORDAN:  BAB-A-DARAA,AL-KARAK",,,,,,,-2150
,,,,,,,,2,10.0,POINT (35.7999999999999972 35.6829999999999998),,,,,SYRIA:  UGARIT,,,,,,,-2000
,,,1.0,18.0,,,,3,10.0,POINT (58.2000000000000028 38.0000000000000000),,,,,TURKMENISTAN:  W,,,1.0,,,,-2000
,,,,,,,,5877,,POINT (25.3999999999999986 36.3999999999999986),,,,,GREECE:  THERA ISLAND (SANTORINI),,,,,,,-1610
,,,,,,,,8,10.0,POINT (35.2999999999999972 31.5000000000000000),,,,,ISRAEL:  ARIHA (JERICHO),,,,,,,-1566
,,,,,,,,11,10.0,POINT (25.5000000000000000 35.5000000000000000),,,,,ITALY:  LACUS CIMINI,,,,,,,-1450
,,,,,,,,9712,,POINT (35.7999999999999972 35.6829999999999998),,,,,SYRIAN COASTS,,,,,,,-1365
,,,,,,,,12,,POINT (35.5000000000000000 32.0000000000000000),,,,,ISRAEL:  ARIHA (JERICHO),,,,,,,-1250
,,,,,,,,13,,POINT (35.0000000000000000 29.6000000000000014),,,,,JORDAN:  SW:  TIMNA COPPER MINES,,,,,,,-1050
,,,,,,,,14,11.0,POINT (35.5000000000000000 33.0000000000000000),,,,,ISRAEL:  JERUSALEM,,,,,,,-759
,,,,,,,,7793,,POINT (35.2199999999999989 33.2700000000000031),,,,,LEBANON:  SUR (TYRE),,,,,,,-590
,,,,,,,,16,10.0,POINT (22.5000000000000000 37.0000000000000000),,,,,GREECE:  MOUNT TAYGETUS,,,,,,,-550
,,,,,,,,7794,,POINT (35.3699999999999974 33.5600000000000023),,,,,"LEBANON:  SUR (TYRE), SAYDA (SAIDA)",,,,,,,-525
,,29.0,,,,,,9713,,POINT (23.5000000000000000 37.8999999999999986),,,,9.0,GREECE:  SARONIC GULF,29.0,,,,,,-480
,,,,,,,,17,9.0,POINT (23.3000000000000007 39.7000000000000028),,,,,GREECE:  MACEDONIA,,,,,,,-479
,,,,,,,,18,,POINT (22.5000000000000000 37.0000000000000000),,,,,GREECE:  ROMAN TERRITORIES,,,,,,,-432
,,,2500.0,,,,,5878,10.0,POINT (22.6999999999999993 38.8999999999999986),,,,6.0,GREECE:  EUBOEA,,,2500.0,,,,-426
,,,,,,,,19,,POINT (51.7999999999999972 35.5000000000000000),,,,,"IRAN:  REY,EIVAN-E-KAY",,,,,,,-400
,,,,,,,,20,11.0,POINT (22.2500000000000000 38.2500000000000000),,,,,GREECE,,,,,,,-373
,,,,100.0,,,,21,,POINT (25.0000000000000000 35.0000000000000000),,,,,ITALY:  ROME,,,,,,,-364
,,,,,,,,22,11.0,POINT (25.0000000000000000 40.0000000000000000),,,,,GREECE:  AEGEAN SEA,,,,,,,-330
,,,,,,,,9652,,POINT (71.0000000000000000 23.0000000000000000),,,,11.0,INDIA:  KUTCH,,,,,,,-326
,,,,,,,,23,10.0,POINT (27.0000000000000000 41.0000000000000000),,,,,TURKEY:  LYSIMACHIA,,,,,,,-282
,,,,,,,,24,,POINT (22.5000000000000000 38.5000000000000000),,,,,GREECE:  DELPHI,,,,,,,-282
,,,,20.0,,,,25,9.0,POINT (77.5000000000000000 42.7000000000000028),,,,,KYRGYZSTAN:  CHIGUCHIN,,,,,,,-250
,,,,100.0,,,,28,10.0,POINT (28.3000000000000007 36.2999999999999972),,,,,GREECE:  DODECANESE ISLANDS,,,,,,,-227
,,,,,,,,9752,,,,,,10.0,GREECE,,,,,,,-223
,,,,,,,,8196,7.0,POINT (25.5000000000000000 29.1999999999999993),,,,,EGYPT:  SIWA OASIS; LIBYA,,,,,,,-221
,,,,,,,,9732,,POINT (-7.1699999999999999 36.2000000000000028),,,,,SPAIN:  CADIZ,,,,,,,-218
,,,,,,,,29,,POINT (8.5000000000000000 44.2999999999999972),,,,,"ITALY:  LIGURIA (LIGURIE), GAULE",,,,,,,-217
,,,,,,,,9733,,POINT (-10.5000000000000000 36.0000000000000000),,,,,PORTUGAL:  CABO SAN VICENTE,,,,,,,-210
,,,,,,,,7795,,POINT (25.3960000000000008 36.4040000000000035),,,,,EAST MEDITERRANEAN SEA,,,,,,,-198
,,,,,,,,7895,,POINT (103.9000000000000057 35.3999999999999986),,,,2.0,CHINA:  GANSU PROVINCE:  LINTAO,,,,,,,-193
,,22.0,760.0,,,,,30,,POINT (105.5999999999999943 33.7999999999999972),,,,2.0,CHINA:  GANSU PROVINCE,22.0,,760.0,,,,-186
,,,,100.0,,,,31,,,,,,,ITALY:  SABINES,,,,,,,-177
,,1.0,6000.0,,,,,32,9.0,POINT (119.0000000000000000 36.2999999999999972),,,,6.0,CHINA:  SHANDONG PROVINCE,1.0,,6000.0,,,,-70
,,,,20.0,,,,55,8.0,POINT (36.6000000000000014 45.2000000000000028),,,,10.0,RUSSIA:  PANTIKAPEY,,,,,,,-63
,,,,,,,,9734,9.0,POINT (-10.0000000000000000 36.0000000000000000),,,,,PORTUGAL:  CABO SAN VICENTE,,,,,,,-60
,,,,,,,,9753,,POINT (19.5000000000000000 41.2999999999999972),,,,,ALBANIA:  DYRRACHIUM,,,,,,,-58
,,,,,,,,9786,,POINT (28.5000000000000000 43.5000000000000000),,,,,"BULGARIA:  BISONE [KAVARNA], DIONISOPOLIS [BALCHIK]",,,,,,,-50
,,,,,,,,9754,8.0,POINT (41.0000000000000000 43.0000000000000000),,,,,GEORGIA:  DYOSCURIA [SUKHUMI],,,,,,,-50
,,17.0,,,,,,33,9.0,POINT (104.7000000000000028 34.8999999999999986),,,,4.0,CHINA:  GANSU PROVINCE:  LONGXI,17.0,,,,,,-47
,,,30000.0,,,,,34,9.0,POINT (34.2000000000000028 31.1999999999999993),,,,,ISRAEL:  PALESTINE,,,30000.0,,,,-33
,,2.0,,,,,,35,,POINT (35.5000000000000000 32.0000000000000000),,,,9.0,"ISRAEL:  QUMRAN,ARIHA (JERICHO)",2.0,,,,,,-31
,,,,,,,,8197,,POINT (32.7000000000000028 25.6999999999999993),,,,,EGYPT:  THEBES,,,,,,,-27
,,,13.0,,,,,36,7.0,POINT (104.5999999999999943 28.8000000000000007),,,,,CHINA:  SICHUAN:  YIBIN,,,13.0,,,,-26
,,,,,,,,7796,9.0,POINT (33.0000000000000000 35.0000000000000000),,,,,CYPRUS,,,,,,,-26
,,,,,,,,37,,POINT (34.0000000000000000 35.2000000000000028),,,,,CYPRUS:  SALAMIS,,,,,,,-15
,,,,18.0,,,,38,10.0,POINT (58.2999999999999972 38.0000000000000000),,,,,TURKMENISTAN:  NISA,,,,,,,10
,,,,,,,,39,10.0,POINT (27.3999999999999986 37.7999999999999972),,,,,TURKEY,,,,,,,11
,,,,,,,,40,10.0,POINT (27.3000000000000007 37.8500000000000014),,,,,"TURKEY:  IZMIR, EFES, AYDIN, MANISA, ALASEHIR, SART",,,,,,,17
,,,,,,,,41,10.0,POINT (22.1999999999999993 38.2000000000000028),,,,,GREECE,,,,,,,23
,,,,,,,,42,,POINT (72.0000000000000000 33.0000000000000000),,,,,PAKISTAN,,,,,,,25
,,,,,,,,43,8.0,POINT (126.5000000000000000 35.8999999999999986),,,,,SOUTH KOREA:  KWANGJU,,,,,,,27
,,,,,,,,44,10.0,POINT (28.8999999999999986 40.5000000000000000),,,,,"TURKEY:  IZNIK,IZMIT",,,,,,,29
,,,,,,,,8178,,POINT (34.2000000000000028 31.1999999999999993),,,,,ISRAEL:  PALESTINE,,,,,,,33
,0037-04-09,9.0,,,,,,10265,,POINT (36.1000000000000014 36.1000000000000014),,,,4.0,TURKEY:  ANTAKYA (ANTIOCH),9.0,,,,,,37
,0046-10-23,23.0,,,,,,7896,8.0,POINT (112.5000000000000000 33.0000000000000000),,,,10.0,CHINA:  HENAN PROVINCE:  NANYANG,23.0,,,,,,46
,,,,,,,,46,,POINT (68.5000000000000000 37.0000000000000000),,,,,AFGHANISTAN:  AIKHANUM,,,,,,,50
,,,,,,,,49,,POINT (24.3000000000000007 41.0000000000000000),,,,,"GREECE:  PHILIPPI,DRAMA,KAVALA",,,,,,,52
,,,,,,,,48,9.0,POINT (36.1000000000000014 36.1000000000000014),,,,,TURKEY:  ANTAKYA (ANTIOCH),,,,,,,52
,,,,,,,,50,10.0,POINT (25.0000000000000000 35.0000000000000000),,,,,GREECE:  CRETE,,,,,,,55
,,,,,,,,51,10.0,POINT (19.3000000000000007 41.2000000000000028),,,,,ALBANIA:  DURRES,,,,,,,57
,,,,,,,,52,9.0,POINT (29.1999999999999993 37.8999999999999986),,,,,"TURKEY:  LAODICEA, HIERAPOLIS, COLOSSAE, [PAMUKKALE]",,,,,,,60
,,,,,,,,5880,9.0,POINT (25.1000000000000014 35.2000000000000028),,,,,GREECE:  CRETE,,,,,,,62
,,,,,,,,53,10.0,POINT (14.5000000000000000 40.7000000000000028),,,,,ITALY:  POMPEI,,,,,,,63
,,,,,,,,57,10.0,POINT (32.0000000000000000 34.7999999999999972),,,,,"CYPRUS:  PAPHOS, SALAMIS",,,,,,,76
,0079-08-24,24.0,,,,,,58,10.0,POINT (14.4260000000000002 40.8209999999999980),,,,8.0,ITALY:  NAPLES (NAPOLI),24.0,,3500.0,,,,79
,,,,,,,,60,8.0,POINT (126.5000000000000000 35.8999999999999986),,,,,SOUTH KOREA:  KWANGJU,,,,,,,89
,,,,,,,,61,,POINT (26.6999999999999993 40.6000000000000014),,,,,TURKEY:  HELLESPONT,,,,,,,93
,,,,,,,,62,8.0,POINT (129.1999999999999886 35.7999999999999972),,,,,SOUTH KOREA:  KYONGJU,,,,,,,100
,,,,,,,,63,10.0,POINT (27.0000000000000000 39.5000000000000000),,,,,TURKEY,,,,,,,105
,,,,,,,,9970,,POINT (34.0000000000000000 40.0000000000000000),,,,,TURKEY:  GALATIA,,,,,,,109
,0115-12-13,13.0,260000.0,,,,,64,11.0,POINT (36.1000000000000014 36.1000000000000014),,,,12.0,TURKEY:  ANTAKYA (ANTIOCH),13.0,,260000.0,,,,115
,,,,,,,,9969,9.0,POINT (29.9200000000000017 40.7700000000000031),,,,,"TURKEY: NICOMEDIA, NICAEA",,,,,,,120
,,,,,,,,65,8.0,POINT (129.1999999999999886 35.7999999999999972),,,,,SOUTH KOREA:  KYONGJU,,,,,,,123
,0128-02-23,23.0,,,,,,7897,8.0,POINT (105.4000000000000057 34.7000000000000028),,,,2.0,CHINA:  GANSU PROVINCE:  GANGU,23.0,,,,,,128
,0138-03-01,1.0,,,,,,66,9.0,POINT (103.5000000000000000 35.7999999999999972),,,,3.0,CHINA:  GANSU PROVINCE,1.0,,,,,,138
,,,,,,,,5883,8.0,POINT (28.0000000000000000 36.7000000000000028),7.0,,,,GREECE:  RHODES,,,,,,,142
,,,,,,,,7898,9.0,POINT (105.2999999999999972 34.7000000000000028),,,,10.0,CHINA:  GANSU PROVINCE,,,,,,,143
,,,,100.0,,,,67,10.0,POINT (28.5000000000000000 36.5000000000000000),,,,,GREECE:  DODECANESE ISLANDS,,,,,,,155
,,,,,,,,68,,POINT (24.5000000000000000 39.0000000000000000),,,,,"GREECE-TURKEY:  VITINIA,HELLESPONT",,,,,,,170
,0173-06-28,28.0,,,,,,5884,,POINT (120.0000000000000000 37.5000000000000000),,,,6.0,CHINA:  YELLOW SEA,28.0,,,,,,173
,,,,,,,,69,7.0,POINT (26.6499999999999986 38.6000000000000014),,,,,"TURKEY: IZMIR, AEGEAN ISLANDS",,,,,,,177
,,,,,,,,9757,9.0,POINT (15.0000000000000000 38.0000000000000000),,,,,ITALY:  SICILY,,,,,,,177
,,,,,,,,70,10.0,POINT (99.5000000000000000 39.3999999999999986),,,,9.0,CHINA:  GANSU PROVINCE,,,,,,,180
,,,,,,,,71,,POINT (11.0000000000000000 45.2999999999999972),,,,,"ITALY:  VERONA,BENACO",,,,,,,243
,0251-07-09,9.0,,,,,,72,10.0,POINT (25.5000000000000000 35.5000000000000000),,,,7.0,GREECE:  CRETE,9.0,,,,,,251
,0253-07-09,9.0,,,,,,73,10.0,POINT (27.1999999999999993 39.1000000000000014),,,,7.0,TURKEY,9.0,,,,,,253
,,,,,,,1001.0,9984,8.0,POINT (12.4499999999999993 41.8999999999999986),,,,,ITALY:  ROME,,,,,1001.0,,258
,,,,,,,,8199,,POINT (30.0000000000000000 36.6000000000000014),,,,,TURKEY:  S COASTS; LIBYA,,,,,,,262
,,,,,,,,7899,7.0,POINT (116.7999999999999972 32.6000000000000014),,,,7.0,CHINA:  ANHUI PROVINCE:  SHOUXIAN,,,,,,,294
,,,101.0,,,,,74,7.0,POINT (116.0000000000000000 40.2999999999999972),,,,9.0,CHINA:  BEIJING,,,101.0,,,,294
,,,,,,,,75,8.0,POINT (129.0999999999999943 35.5000000000000000),,,,,SOUTH KOREA:  KYONGJU,,,,,,,304
,,,,,,,,76,9.0,POINT (35.1000000000000014 33.2000000000000028),,,,,"LEBANON:  SUR (TYRE), SAYDA (SAIDA)",,,,,,,306
,,,,,,,,9988,,POINT (35.5000000000000000 31.6999999999999993),,,,,ISRAEL:  AEROPOLIS,,,,,,,315
,0319-06-17,17.0,,,,,,7900,,POINT (105.2999999999999972 34.1000000000000014),,,,6.0,CHINA:  GANSU PROVINCE:  XIHE,17.0,,,,,,319
,0324-08-06,6.0,,,,,,77,10.0,POINT (14.5000000000000000 40.5000000000000000),,,,8.0,ITALY:  CAMPANIA,6.0,,,,,,324
,,,,,,,,78,10.0,POINT (19.3000000000000007 41.2000000000000028),,,,,ALBANIA:  DURRES,,,,,,,334
,,,,,,,,79,9.0,POINT (36.1000000000000014 36.1000000000000014),,,,,TURKEY:  ANTAKYA (ANTIOCH),,,,,,,340
,,,,,,,,80,7.0,POINT (36.1000000000000014 36.2000000000000028),,,,,TURKEY:  ANTAKYA (ANTIOCH),,,,,,,341
,,,40000.0,,,,,81,,POINT (36.1000000000000014 36.2000000000000028),,,,,TURKEY:  ANTAKYA (ANTIOCH),,,40000.0,,,,342
,,,,,,,,82,10.0,POINT (19.5000000000000000 41.2999999999999972),,,,,ALBANIA:  DURRES,,,,,,,342
,0344-04-11,11.0,,,,,,85,10.0,POINT (14.5000000000000000 40.5000000000000000),,,,4.0,ITALY:  CAMPANIA,11.0,,,,,,344
,,,,,,,,84,9.0,POINT (26.5000000000000000 40.2999999999999972),,,,,TURKEY:  DARDANELLES,,,,,,,344
,,,101.0,,,,,83,,POINT (114.2999999999999972 35.3999999999999986),,,,,CHINA:  HENAN PROVINCE,,,101.0,,,,344
,,,,,,,,9989,9.0,POINT (19.3999999999999986 41.3999999999999986),,,,,ALBANIA:  DURRES (DYRRACHIUM),,,,,,,346
,,,,,,,,86,9.0,POINT (35.5000000000000000 33.8999999999999986),,,,,LEBANON:  BAYRUT (BEROUTH),,,,,,,348
,,,,,,,,87,10.0,POINT (30.0000000000000000 41.0000000000000000),,,,10.0,TURKEY,,,,,,,350
,,,,,,,,88,9.0,POINT (29.6999999999999993 40.7000000000000028),,,,,"TURKEY:  IZMIT,NICOMEDIA",,,,,,,355
,0358-08-24,24.0,,,,,,89,7.0,POINT (29.8999999999999986 40.7700000000000031),,,,8.0,"TURKEY:  IZNIK, IZMIT [NICOMEDIA]",24.0,,,,,,358
,,,,,,,,91,12.0,POINT (21.5000000000000000 41.6000000000000014),,,,,BALKANS NW:  MACEDONIA:  STOBI,,,,,,,361
,0362-05-24,24.0,,,,,,92,,POINT (35.6000000000000014 31.3000000000000007),,,,5.0,JORDAN:  AL-KARAK,24.0,,,,,,362
,0362-12-02,2.0,,,,,,93,10.0,POINT (29.5000000000000000 41.0000000000000000),,,,12.0,TURKEY,2.0,,,,,,362
,0365-07-21,21.0,,,,,,95,11.0,POINT (23.0000000000000000 35.0000000000000000),,,,7.0,GREECE:  CRETE:  KNOSSOS,21.0,,5000.0,,,,365
,0367-10-11,11.0,1000.0,,,,,98,,POINT (29.6999999999999993 40.7000000000000028),,,,10.0,"TURKEY:  IZNIK,NICAEA",11.0,,,,,,367
,0368-10-11,11.0,,,,,,99,,POINT (29.0000000000000000 40.0000000000000000),,,,10.0,TURKEY:  NICAEA [IZNIK],11.0,,,,,,368
,,,,,,,,8239,8.0,POINT (29.6000000000000014 40.5000000000000000),,,,,TURKEY:  MARMARA SEA,,,,,,,368
,,,,,,,,100,10.0,POINT (14.8000000000000007 41.1000000000000014),,,,,ITALY:  BENEVENTO,,,,,,,369
,,,,,,,,9758,,POINT (-10.8300000000000001 36.0000000000000000),,,,,PORTUGAL:  CABO SAN VICENTE:  SW,,,,,,,382
,,,,,,,,101,9.0,POINT (36.1000000000000014 36.1000000000000014),,,,,TURKEY:  ANTAKYA (ANTIOCH),,,,,,,394
,,,,,,,,102,9.0,POINT (36.1000000000000014 36.1000000000000014),,,,,TURKEY:  ANTAKYA (ANTIOCH),,,,,,,396
,0407-04-01,1.0,,,,,,5885,8.0,POINT (29.0000000000000000 41.0000000000000000),,,,4.0,TURKEY:  MARMARA SEA,1.0,,,,,,407
,,,,,,,,103,10.0,POINT (10.0670000000000002 37.0670000000000002),,,,,TUNISIA:  UTIQUE,,,,,,,412
,,,,,,,,104,,POINT (34.2000000000000028 31.1999999999999993),,,,,ISRAEL:  PALESTINE,,,,,,,419
,,,,,,,,106,10.0,POINT (34.8999999999999986 31.8999999999999986),,,,,"ISRAEL:  JERUSALEM, PALESTINE, RAMLEH; EGYPT",,,,,,,425
,,,,12.0,,,,109,10.0,POINT (46.5000000000000000 40.5000000000000000),,,,,AZERBAIJAN,,,,,,,427
,,,,,,,,110,10.0,POINT (25.5000000000000000 35.5000000000000000),,,,,GREECE:  CRETE,,,,,,,438
,0440-10-26,26.0,,,,,,112,7.0,POINT (29.0000000000000000 41.0000000000000000),,,,10.0,TURKEY:  ISTANBUL (CONSTANTINOPLE),26.0,,,,,,440
,0447-01-26,26.0,,,,,,5887,9.0,POINT (28.5000000000000000 40.8999999999999986),,,,1.0,TURKEY:  ISTANBUL (CONSTANTINOPLE),26.0,,,,,,447
,0448-09-06,6.0,,,,,,114,10.0,POINT (25.0000000000000000 35.0000000000000000),,,,9.0,GREECE:  CRETE,6.0,,,,,,448
,,,,,,,,9972,5.0,POINT (28.3999999999999986 40.3999999999999986),,,,,INSTANBUL (CONSTANTINOPLE),,,,,,,450
,,,,,,,,115,10.0,POINT (36.1000000000000014 36.2000000000000028),,,,,TURKEY:  ANTAKYA (ANTIOCH),,,,,,,457
,,,80000.0,,,,,116,9.0,POINT (36.1000000000000014 36.2000000000000028),,,,9.0,TURKEY:  ANTAKYA (ANTIOCH),,,80000.0,,,,458
,0460-07-22,22.0,,,,,,117,12.0,POINT (100.0000000000000000 20.3000000000000007),,,,7.0,THAILAND:  YONOK-NAGABANDHU,22.0,,,,,,460
,,,,,,,,118,,POINT (4.2999999999999998 44.3999999999999986),,,,,"FRANCE:  VIENNE,VIVARAIS,DAUPHINE,VELAY,FOREZ",,,,,,,470
,0477-09-25,25.0,,,,,,119,10.0,POINT (29.0000000000000000 41.0000000000000000),,,,9.0,TURKEY:  ISTANBUL (CONSTANTINOPLE),25.0,,,,,,477
,0478-09-25,25.0,,,,,,5888,9.0,POINT (29.1999999999999993 40.7999999999999972),,,,9.0,TURKEY:  MARMARA SEA,25.0,,,,,,478
,,,,,,,,121,10.0,POINT (35.5000000000000000 34.2999999999999972),,,,,LEBANON:  TARABULUS (TRIPOLIS); SYRIA,,,,,,,494
,0499-08-04,4.0,,,,,,8090,6.0,POINT (118.7999999999999972 32.1000000000000014),,,,8.0,CHINA:  JIANGSU PROVINCE,4.0,,,,,,499
,,,,20.0,,,,122,8.0,POINT (76.5000000000000000 42.7000000000000028),,,,,KAZAKHSTAN,,,,,,,500
,,,,,,,,123,8.0,POINT (125.2999999999999972 39.0000000000000000),,,,,NORTH KOREA:  PYONGYANG,,,,,,,501
,,,,,,,,124,8.0,POINT (129.0999999999999943 35.5000000000000000),,,,,SOUTH KOREA:  KYONGJU,,,,,,,510
